engine_version,ticker,strategy,strategy_parameters,sample,start_date,end_date,source_sha256,repaired_range_fields,initial_balance,risk_pct,contract_multiplier,tick_size,commission_per_contract,slippage_ticks,max_leverage,sharpe_ratio,max_drawdown_pct,cagr_pct,total_return_pct,exposure_pct,num_trades,profit_factor,total_costs
0.2.0,NG=F,2B Rule,lookback=20;confirmation_days=3,development,2000-09-28,2017-12-29,5a9d6b7e6ab7793c17c121f7163b49442d4b1fdd7609155f7c41c94e0967daf0,32,100000.0,0.02,10000,0.001,2.5,1,20.0,-0.54,-91.05,-10.87,-86.27,12.9,242,0.69,3100.0
0.2.0,NG=F,2B Rule (scaled),lookback=20;confirmation_days=3,development,2000-09-28,2017-12-29,5a9d6b7e6ab7793c17c121f7163b49442d4b1fdd7609155f7c41c94e0967daf0,32,100000.0,0.02,10000,0.001,2.5,1,20.0,-0.46,-41.17,-2.4,-34.2,5.1,168,0.57,1925.0
0.2.0,NG=F,2B Rule,lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5a9d6b7e6ab7793c17c121f7163b49442d4b1fdd7609155f7c41c94e0967daf0,32,100000.0,0.02,10000,0.001,2.5,1,20.0,-0.56,-81.13,-16.78,-78.14,20.5,153,0.5,4050.0
0.2.0,NG=F,2B Rule (scaled),lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5a9d6b7e6ab7793c17c121f7163b49442d4b1fdd7609155f7c41c94e0967daf0,32,100000.0,0.02,10000,0.001,2.5,1,20.0,-0.56,-38.08,-5.04,-34.81,9.2,114,0.41,1890.0
0.2.0,NG=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-06,2017-12-29,5a9d6b7e6ab7793c17c121f7163b49442d4b1fdd7609155f7c41c94e0967daf0,32,100000.0,0.02,10000,0.001,2.5,1,20.0,-0.26,-68.35,-4.82,-56.46,15.1,161,0.74,2770.0
0.2.0,NG=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-06,2017-12-29,5a9d6b7e6ab7793c17c121f7163b49442d4b1fdd7609155f7c41c94e0967daf0,32,100000.0,0.02,10000,0.001,2.5,1,20.0,0.05,-23.41,0.14,2.42,3.1,93,1.05,1035.0
0.2.0,NG=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5a9d6b7e6ab7793c17c121f7163b49442d4b1fdd7609155f7c41c94e0967daf0,32,100000.0,0.02,10000,0.001,2.5,1,20.0,-0.62,-52.74,-7.22,-46.21,13.7,77,0.51,1555.0
0.2.0,NG=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,5a9d6b7e6ab7793c17c121f7163b49442d4b1fdd7609155f7c41c94e0967daf0,32,100000.0,0.02,10000,0.001,2.5,1,20.0,-0.96,-23.79,-2.58,-19.46,2.6,39,0.13,650.0
0.2.0,HG=F,2B Rule,lookback=20;confirmation_days=3,development,2000-09-28,2017-12-29,b44235efa32d958f9a06dfcc1b9a3d183f0b23caac7a3f70df4705e35e1fe72c,304,100000.0,0.02,25000,0.0005,2.5,1,20.0,-0.06,-65.14,-5.46,-62.04,29.7,339,0.84,10650.0
0.2.0,HG=F,2B Rule (scaled),lookback=20;confirmation_days=3,development,2000-09-28,2017-12-29,b44235efa32d958f9a06dfcc1b9a3d183f0b23caac7a3f70df4705e35e1fe72c,304,100000.0,0.02,25000,0.0005,2.5,1,20.0,-0.11,-29.69,-1.52,-23.24,16.7,227,0.83,5975.0
